* to get this rearranged.

alleviate,9
acquiesce,9
adherence,9
aeronautics,11
delineate,9
adversary,9
delirious,9
certitude,9
conundrum,9
destitute,9
deprecate,9
demarcate,9
detriment,9
dissipate,9
duplicity,9
eccentric,9
embellish,9
eliminate,9
empirical,9
enigmatic,9
enumerate,9
enunciate,9
ephemeral,9
equivocal,9
eradicate,9
euphemism,9
evocative,9
exacerbate,10
extraneous,10
fallacious,10
ubiquitous,10
vicarious,9
discipline,10
collegiate,10
noticeable,10
changeable,10
privileged,10
annihilate,10
annotation,10
ineluctable,11
affirmative,11
indomitable,11
affliction,10
alienation,10
allegiance,10
alteration,10
amalgamate,10
ammunition,10
antithesis,10
apocalypse,10
apprentice,10
aristocracy,11
arithmetic,10
articulate,10
asceticism,10
aspiration,10
auditorium,10
blasphemous,10
boisterous,10
bureaucrat,10
capitulate,10
categorical,11
catholicism,11
cautionary,10
ceremonial,10
conglomerate,12
contemptuous,12
convulsion,10
corporation,11
correlation,11
cumbersome,10
immaculate,10
immoderate,10
impecunious,11
imperative,10
impermeable,12
impetuous,9
implacable,10
impoverish,10
inalterable,11
inattentive,11
incendiary,10
incinerate,10
indubitable,11
indulgence,10
inevitable,10
inveterate,10
inviolable,10
invocation,10
involution,10
irresolute,10
irreverence,11
irrevocable,11
consanguinity,13
embezzlement,12
entrepreneur,13
indispensable,13
acquaintance,12
evanescent,10
delusional,10
discombobulate,14
questionnaire,14
congratulatory,14
occasionally,13
conscientious,13
disenfranchise,14
accompany,10
dispassionate,13
indeterminate,13
inapprehensible,15
impenetrability,15
incontrovertible,16
anthropomorphism,16
ytterbium,10
zymurgy,7
jargon,6
jasmine,7
jaundice,8
jejune,6
jettison,8
jubilation,10
judicious,9
juggernaut,10
juxtapose,9
kaleidoscope,12
katabatic,9
kinetic,7
labyrinth,9
lackadaisical,14
lassitude,9
legerdemain,11
linguistics,11
loquacious,10
lucubration,11
luminescence,13
maelstrom,9
magnanimous,11
maleficent,10
malfeasance,11
malinger,8
masticate,9
melancholia,11
mendacious,10
meritorious,11
metamorphosis,13
meticulously,13
miasma,6
militate,8
milquetoast,11
mnemonic,8
monolithic,10
moribund,8
munificent,11
nebulous,8
negligible,10
nemesis,7
neologism,10
nihilism,8
noisome,7
nomenclature,12
nonchalance,11
noxious,7
obdurate,8
obfuscate,9
obsequious,10
obstreperous,12
occluded,8
octogenarian,13
odious,6
olfactory,9
oligarchy,9
onomatopoeia,13
opaque,6
opprobrium,10
oscillate,9
ostensible,10
ostracize,9
outrageous,10
parable,7
paradigm,8
paradox,7
paraphernalia,14
parochial,9
parricide,9
parsimonious,12
parvenu,7
pastiche,8
paucity,7
pedantic,8
penchant,8
penurious,9
perfidious,10
perfunctory,11
pernicious,10
perorate,8
phalanx,7
philatelist,11
philistine,10
phlegmatic,10
pious,5
plethora,8
precipitous,11
preclusion,10
predilection,12
predisposed,12
prehensile,10
prerogative,11
prestidigitation,17
procrustean,12
proclivity,10
profligate,10
proliferate,11
propinquity,11
propriety,9
proscenium,11
provincial,10
pseudonymous,12
puerile,7
pugnacious,10
pulchritude,11
purlieu,7
pusillanimous,13
quagmire,8
qualm,5
quandary,8
quarantine,10
quiescence,10
quintessence,12
quixotic,8
rapacious,9
rarefied,8
raconteur,9
rebarbative,11
recalcitrant,12
recapitulate,12
recherché,9
recompense,10
recondite,9
recreant,8
redolent,8
redoubtable,11
relegate,8
remuneration,12
renovate,8
repudiate,9
rescind,7
resplendent,11
reticent,8
saccharine,10
sacrilegious,12
salacious,9
salubrious,10
salubriously,12
sangfroid,9
sardonic,8
saturnine,9
serendipity,11
sibilance,9
solicitous,10
somnolent,9
sordid,6
squalid,7
squamous,8
sycophant,9
syzygy,6
taciturn,8
talisman,8
tantamount,10
tautology,9
temerity,8
tendentious,11
tergiversate,12
titillate,9
torpor,6
transmogrify,13
trepidation,11
truculent,9
turpitude,9
ubiquitous,10
umbrage,7
uncanny,7
undulate,8
unremitting,11
usurp,5
vapid,5
vicissitude,11
vilify,6
virulent,8
vitiate,7
vitriolic,10
vitruvian,9
voluptuous,10
xenophobe,9
xylography,10
xylophone,9
zealot,6
zephyr,6
